Track,Vehicle,Description,Translation,Rotation,Timestamp
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-244.80750189514848, 104.85640724830641, 2.0183713120128743]","[0.2525547609061316, 0.0, 0.0, 0.9675826025428769]",16415956005.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-244.9607810834281, 106.65502319518784, 2.018690583385265]","[-0.33470629322641354, 0.0, 0.0, 0.9423225017342174]",16415956010.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-247.12494631495903, 104.32739838520885, 2.0209707287875247]","[0.887020063530858, 0.0, 0.0, 0.46173088145987434]",16415956015.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-247.6832689784443, 105.01430466228736, 2.0250903892534]","[0.9798854525184691, 0.0, 0.0, 0.19956076754381044]",16415956020.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-244.61341998435506, 105.85857302127593, 2.0249463074854788]","[-0.06771597065140982, 0.0, 0.0, 0.997704639319041]",16415956025.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.19031575897458, 104.397189784019, 2.0208410983283684]","[0.4290803394777883, 0.0, 0.0, 0.9032663296468134]",16415956030.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.27203600450125, 104.33491624423618, 2.0161623670218134]","[0.4574863154580898, 0.0, 0.0, 0.8892166615446323]",16415956035.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-247.3555233723354, 106.76116324108276, 2.0215102574856516]","[0.9263129808914032, 0.0, 0.0, -0.37675490896879205]",16415956040.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-244.6702239639675, 106.11607617599066, 2.0216620942516244]","[-0.1493665641543676, 0.0, 0.0, 0.9887818917803456]",16415956045.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.10284141368368, 106.80710678872181, 2.020756122131793]","[-0.3955811974940249, 0.0, 0.0, 0.9184310078548051]",16415956050.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-247.78092468200532, 105.33083939536755, 2.018029103203439]","[0.9952448288836295, 0.0, 0.0, 0.09740498231812897]",16415956055.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.86003647561637, 104.07382133144436, 2.0155212589926847]","[0.6263388177242202, 0.0, 0.0, 0.7795509511326544]",16415956060.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-244.62884394913993, 105.94820472543184, 2.017146685241684]","[-0.0958550032096151, 0.0, 0.0, 0.9953953075837181]",16415956065.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-247.81090973130944, 105.56270331278589, 2.015904377567871]","[0.999678675340788, 0.0, 0.0, 0.025348492438159606]",16415956070.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-244.74385427449943, 104.98165379315601, 2.0162032480254695]","[0.2105968323429499, 0.0, 0.0, 0.9775730019835426]",16415956075.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-246.91075471486695, 104.19853521797852, 2.016754029467137]","[0.8474940866523716, 0.0, 0.0, 0.5308048352165441]",16415956080.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-244.6211242801472, 105.88288671954487, 2.01658907882301]","[-0.07523794981665627, 0.0, 0.0, 0.9971656085662933]",16415956085.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.33299908255324, 104.2918983530376, 2.013739306129935]","[0.4777897591730931, 0.0, 0.0, 0.878474214777712]",16415956090.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-244.7297792754572, 105.00970012400151, 2.018981839908882]","[0.20045764209965036, 0.0, 0.0, 0.9797023699694966]",16415956095.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-244.6025582234967, 105.71717161961016, 2.0200112542033537]","[-0.024006267864221956, 0.0, 0.0, 0.9997118080243081]",16415956100.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.88431901869527, 104.06712249629581, 2.0218534928013128]","[0.631888271541774, 0.0, 0.0, 0.7750594895154497]",16415956105.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-247.61820682492115, 106.40787004883242, 2.0228922821616067]","[0.9690855922324488, 0.0, 0.0, -0.2467247756660933]",16415956110.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.47743457074296, 104.21119462485991, 2.016288232990135]","[0.5221907844180572, 0.0, 0.0, 0.8528286959693924]",16415956115.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-244.6195371017145, 105.87510337404676, 2.017746558454199]","[-0.0731517750797938, 0.0, 0.0, 0.997320819898329]",16415956120.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.55203524675213, 104.17505979609251, 2.0191055227545363]","[0.5438217994675001, 0.0, 0.0, 0.8392007211769602]",16415956125.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.14700215925816, 104.4347200497629, 2.0194083986661937]","[0.4116874441216556, 0.0, 0.0, 0.9113251057403053]",16415956130.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-247.65312742188615, 106.34395137906527, 2.0210351683739205]","[0.974586434650813, 0.0, 0.0, -0.2240117885170704]",16415956135.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-247.7893284921619, 105.35261846390793, 2.0203984733442226]","[0.9959054379206871, 0.0, 0.0, 0.09040109910838692]",16415956140.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-246.3539301899838, 104.04153459214338, 2.0196350716757934]","[0.7378980380361657, 0.0, 0.0, 0.6749122057441082]",16415956145.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-245.31327480160297, 104.31049265302389, 2.020573013326789]","[0.4693087797840671, 0.0, 0.0, 0.8830341268702983]",16415956150.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-246.89350996624745, 107.09317056038549, 2.0186417701230255]","[0.8446864096054384, 0.0, 0.0, -0.5352614963061266]",16415956155.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[-247.66950632004554, 106.3063860778389, 2.0224225476143047]","[0.9772192096368257, 0.0, 0.0, -0.21223245820745126]",16415956160.12345
